Store Name,Planogram,Aisle,Bay,Element Name,Element Type,Brand,Facings,WKT Geometry,Z Order,Sales Last 12 Months
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Morning Mills Wheat Bites 1kg,Product,Morning Mills,1,"POLYGON ((1.271 1.5, 1.511 1.5, 1.511 1.83, 1.271 1.83, 1.271 1.5))",2,2500
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,Shelf 4 - Bay 01,Shelf,,,"POLYGON ((0 1.86, 1.6 1.86, 1.6 1.9, 0 1.9, 0 1.86))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,FreshMart Essentials Granola Clusters 450g,Product,FreshMart Essentials,3,"POLYGON ((0.035 1.9, 0.605 1.9, 0.605 2.17, 0.035 2.17, 0.035 1.9))",2,6100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,FreshMart Essentials Oat Sachets 10pk,Product,FreshMart Essentials,3,"POLYGON ((0.617 1.9, 1.157 1.9, 1.157 2.14, 0.617 2.14, 0.617 1.9))",2,9900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,01,FreshMart Essentials Granola Clusters 450g,Product,FreshMart Essentials,2,"POLYGON ((1.169 1.9, 1.549 1.9, 1.549 2.17, 1.169 2.17, 1.169 1.9))",2,6800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Base Deck - Bay 02,Base Deck,,,"POLYGON ((1.6 0, 3.2 0, 3.2 0.1, 1.6 0.1, 1.6 0))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,SunHarvest Toasted Muesli 750g,Product,SunHarvest,3,"POLYGON ((1.635 0.1, 2.265 0.1, 2.265 0.38, 1.635 0.38, 1.635 0.1))",2,6100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,SunHarvest Corn Flakes 500g,Product,SunHarvest,3,"POLYGON ((2.277 0.1, 2.877 0.1, 2.877 0.4, 2.277 0.4, 2.277 0.1))",2,10100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,SunHarvest Wheat Bites 1kg,Product,SunHarvest,1,"POLYGON ((2.889 0.1, 3.129 0.1, 3.129 0.43, 2.889 0.43, 2.889 0.1))",2,3000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Shelf 1 - Bay 02,Shelf,,,"POLYGON ((1.6 0.53, 3.2 0.53, 3.2 0.57, 1.6 0.57, 1.6 0.53))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Glen Oats Granola Clusters 450g,Product,Glen Oats,3,"POLYGON ((1.635 0.57, 2.205 0.57, 2.205 0.84, 1.635 0.84, 1.635 0.57))",2,6500
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Glen Oats Oat Sachets 10pk,Product,Glen Oats,2,"POLYGON ((2.217 0.57, 2.577 0.57, 2.577 0.81, 2.217 0.81, 2.217 0.57))",2,6700
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Glen Oats Oat Sachets 10pk,Product,Glen Oats,2,"POLYGON ((2.589 0.57, 2.949 0.57, 2.949 0.81, 2.589 0.81, 2.589 0.57))",2,6200
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,FreshMart Essentials Corn Flakes 500g,Product,FreshMart Essentials,1,"POLYGON ((2.961 0.57, 3.161 0.57, 3.161 0.87, 2.961 0.87, 2.961 0.57))",2,3000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Shelf 2 - Bay 02,Shelf,,,"POLYGON ((1.6 1, 3.2 1, 3.2 1.04, 1.6 1.04, 1.6 1))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,FreshMart Essentials Granola Clusters 450g,Product,FreshMart Essentials,3,"POLYGON ((1.635 1.04, 2.205 1.04, 2.205 1.31, 1.635 1.31, 1.635 1.04))",2,6300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Glen Oats Wheat Bites 1kg,Product,Glen Oats,1,"POLYGON ((2.217 1.04, 2.457 1.04, 2.457 1.37, 2.217 1.37, 2.217 1.04))",2,2200
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,FreshMart Essentials Rice Pops 350g,Product,FreshMart Essentials,3,"POLYGON ((2.469 1.04, 3.069 1.04, 3.069 1.35, 2.469 1.35, 2.469 1.04))",2,7800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Shelf 3 - Bay 02,Shelf,,,"POLYGON ((1.6 1.46, 3.2 1.46, 3.2 1.5, 1.6 1.5, 1.6 1.46))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Glen Oats Corn Flakes 500g,Product,Glen Oats,1,"POLYGON ((1.635 1.5, 1.835 1.5, 1.835 1.8, 1.635 1.8, 1.635 1.5))",2,3600
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,FreshMart Essentials Wheat Bites 1kg,Product,FreshMart Essentials,2,"POLYGON ((1.847 1.5, 2.327 1.5, 2.327 1.83, 1.847 1.83, 1.847 1.5))",2,5100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Morning Mills Oat Sachets 10pk,Product,Morning Mills,1,"POLYGON ((2.339 1.5, 2.519 1.5, 2.519 1.74, 2.339 1.74, 2.339 1.5))",2,2500
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,SunHarvest Rice Pops 350g,Product,SunHarvest,1,"POLYGON ((2.531 1.5, 2.731 1.5, 2.731 1.81, 2.531 1.81, 2.531 1.5))",2,2000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Glen Oats Wheat Bites 1kg,Product,Glen Oats,1,"POLYGON ((2.743 1.5, 2.983 1.5, 2.983 1.83, 2.743 1.83, 2.743 1.5))",2,3200
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Shelf 4 - Bay 02,Shelf,,,"POLYGON ((1.6 1.86, 3.2 1.86, 3.2 1.9, 1.6 1.9, 1.6 1.86))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,Glen Oats Granola Clusters 450g,Product,Glen Oats,2,"POLYGON ((1.635 1.9, 2.015 1.9, 2.015 2.17, 1.635 2.17, 1.635 1.9))",2,4900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,FreshMart Essentials Oat Sachets 10pk,Product,FreshMart Essentials,2,"POLYGON ((2.027 1.9, 2.387 1.9, 2.387 2.14, 2.027 2.14, 2.027 1.9))",2,5300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,FreshMart Essentials Granola Clusters 450g,Product,FreshMart Essentials,2,"POLYGON ((2.399 1.9, 2.779 1.9, 2.779 2.17, 2.399 2.17, 2.399 1.9))",2,6800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,02,FreshMart Essentials Oat Sachets 10pk,Product,FreshMart Essentials,2,"POLYGON ((2.791 1.9, 3.151 1.9, 3.151 2.14, 2.791 2.14, 2.791 1.9))",2,5400
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Base Deck - Bay 03,Base Deck,,,"POLYGON ((3.2 0, 4.8 0, 4.8 0.1, 3.2 0.1, 3.2 0))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Wheat Bites 1kg,Product,Glen Oats,3,"POLYGON ((3.235 0.1, 3.955 0.1, 3.955 0.43, 3.235 0.43, 3.235 0.1))",2,10000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Toasted Muesli 750g,Product,Glen Oats,1,"POLYGON ((3.967 0.1, 4.177 0.1, 4.177 0.38, 3.967 0.38, 3.967 0.1))",2,3000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,FreshMart Essentials Wheat Bites 1kg,Product,FreshMart Essentials,2,"POLYGON ((4.189 0.1, 4.669 0.1, 4.669 0.43, 4.189 0.43, 4.189 0.1))",2,5400
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Shelf 1 - Bay 03,Shelf,,,"POLYGON ((3.2 0.53, 4.8 0.53, 4.8 0.57, 3.2 0.57, 3.2 0.53))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Toasted Muesli 750g,Product,Glen Oats,1,"POLYGON ((3.235 0.57, 3.445 0.57, 3.445 0.85, 3.235 0.85, 3.235 0.57))",2,2100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Morning Mills Toasted Muesli 750g,Product,Morning Mills,3,"POLYGON ((3.457 0.57, 4.087 0.57, 4.087 0.85, 3.457 0.85, 3.457 0.57))",2,6300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Morning Mills Granola Clusters 450g,Product,Morning Mills,1,"POLYGON ((4.099 0.57, 4.289 0.57, 4.289 0.84, 4.099 0.84, 4.099 0.57))",2,1900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,FreshMart Essentials Granola Clusters 450g,Product,FreshMart Essentials,1,"POLYGON ((4.301 0.57, 4.491 0.57, 4.491 0.84, 4.301 0.84, 4.301 0.57))",2,3000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Rice Pops 350g,Product,Glen Oats,1,"POLYGON ((4.503 0.57, 4.703 0.57, 4.703 0.88, 4.503 0.88, 4.503 0.57))",2,3300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Shelf 2 - Bay 03,Shelf,,,"POLYGON ((3.2 1, 4.8 1, 4.8 1.04, 3.2 1.04, 3.2 1))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Oat Sachets 10pk,Product,Glen Oats,2,"POLYGON ((3.235 1.04, 3.595 1.04, 3.595 1.28, 3.235 1.28, 3.235 1.04))",2,4000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Morning Mills Oat Sachets 10pk,Product,Morning Mills,1,"POLYGON ((3.607 1.04, 3.787 1.04, 3.787 1.28, 3.607 1.28, 3.607 1.04))",2,2800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Corn Flakes 500g,Product,Glen Oats,1,"POLYGON ((3.799 1.04, 3.999 1.04, 3.999 1.34, 3.799 1.34, 3.799 1.04))",2,3500
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Morning Mills Oat Sachets 10pk,Product,Morning Mills,1,"POLYGON ((4.011 1.04, 4.191 1.04, 4.191 1.28, 4.011 1.28, 4.011 1.04))",2,3100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,SunHarvest Granola Clusters 450g,Product,SunHarvest,2,"POLYGON ((4.203 1.04, 4.583 1.04, 4.583 1.31, 4.203 1.31, 4.203 1.04))",2,6800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Shelf 3 - Bay 03,Shelf,,,"POLYGON ((3.2 1.46, 4.8 1.46, 4.8 1.5, 3.2 1.5, 3.2 1.46))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Toasted Muesli 750g,Product,Glen Oats,2,"POLYGON ((3.235 1.5, 3.655 1.5, 3.655 1.78, 3.235 1.78, 3.235 1.5))",2,4900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,SunHarvest Granola Clusters 450g,Product,SunHarvest,1,"POLYGON ((3.667 1.5, 3.857 1.5, 3.857 1.77, 3.667 1.77, 3.667 1.5))",2,3400
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,SunHarvest Wheat Bites 1kg,Product,SunHarvest,2,"POLYGON ((3.869 1.5, 4.349 1.5, 4.349 1.83, 3.869 1.83, 3.869 1.5))",2,3900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,SunHarvest Rice Pops 350g,Product,SunHarvest,1,"POLYGON ((4.361 1.5, 4.561 1.5, 4.561 1.81, 4.361 1.81, 4.361 1.5))",2,2100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,SunHarvest Oat Sachets 10pk,Product,SunHarvest,1,"POLYGON ((4.573 1.5, 4.753 1.5, 4.753 1.74, 4.573 1.74, 4.573 1.5))",2,2000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Shelf 4 - Bay 03,Shelf,,,"POLYGON ((3.2 1.86, 4.8 1.86, 4.8 1.9, 3.2 1.9, 3.2 1.86))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,Glen Oats Granola Clusters 450g,Product,Glen Oats,3,"POLYGON ((3.235 1.9, 3.805 1.9, 3.805 2.17, 3.235 2.17, 3.235 1.9))",2,10800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,FreshMart Essentials Oat Sachets 10pk,Product,FreshMart Essentials,3,"POLYGON ((3.817 1.9, 4.357 1.9, 4.357 2.14, 3.817 2.14, 3.817 1.9))",2,7000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,03,FreshMart Essentials Oat Sachets 10pk,Product,FreshMart Essentials,2,"POLYGON ((4.369 1.9, 4.729 1.9, 4.729 2.14, 4.369 2.14, 4.369 1.9))",2,6500
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Base Deck - Bay 04,Base Deck,,,"POLYGON ((4.8 0, 6.4 0, 6.4 0.1, 4.8 0.1, 4.8 0))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,FreshMart Essentials Corn Flakes 500g,Product,FreshMart Essentials,3,"POLYGON ((4.835 0.1, 5.435 0.1, 5.435 0.4, 4.835 0.4, 4.835 0.1))",2,9200
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,FreshMart Essentials Toasted Muesli 750g,Product,FreshMart Essentials,3,"POLYGON ((5.447 0.1, 6.077 0.1, 6.077 0.38, 5.447 0.38, 5.447 0.1))",2,10800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Rice Pops 350g,Product,Glen Oats,1,"POLYGON ((6.089 0.1, 6.289 0.1, 6.289 0.41, 6.089 0.41, 6.089 0.1))",2,2300
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Shelf 1 - Bay 04,Shelf,,,"POLYGON ((4.8 0.53, 6.4 0.53, 6.4 0.57, 4.8 0.57, 4.8 0.53))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Rice Pops 350g,Product,Glen Oats,1,"POLYGON ((4.835 0.57, 5.035 0.57, 5.035 0.88, 4.835 0.88, 4.835 0.57))",2,2800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Oat Sachets 10pk,Product,Glen Oats,1,"POLYGON ((5.047 0.57, 5.227 0.57, 5.227 0.81, 5.047 0.81, 5.047 0.57))",2,2800
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,SunHarvest Corn Flakes 500g,Product,SunHarvest,3,"POLYGON ((5.239 0.57, 5.839 0.57, 5.839 0.87, 5.239 0.87, 5.239 0.57))",2,5900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Morning Mills Oat Sachets 10pk,Product,Morning Mills,1,"POLYGON ((5.851 0.57, 6.031 0.57, 6.031 0.81, 5.851 0.81, 5.851 0.57))",2,2900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Rice Pops 350g,Product,Glen Oats,1,"POLYGON ((6.043 0.57, 6.243 0.57, 6.243 0.88, 6.043 0.88, 6.043 0.57))",2,2100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Shelf 2 - Bay 04,Shelf,,,"POLYGON ((4.8 1, 6.4 1, 6.4 1.04, 4.8 1.04, 4.8 1))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,FreshMart Essentials Granola Clusters 450g,Product,FreshMart Essentials,2,"POLYGON ((4.835 1.04, 5.215 1.04, 5.215 1.31, 4.835 1.31, 4.835 1.04))",2,3700
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Rice Pops 350g,Product,Glen Oats,2,"POLYGON ((5.227 1.04, 5.627 1.04, 5.627 1.35, 5.227 1.35, 5.227 1.04))",2,6100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Toasted Muesli 750g,Product,Glen Oats,3,"POLYGON ((5.639 1.04, 6.269 1.04, 6.269 1.32, 5.639 1.32, 5.639 1.04))",2,6900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Shelf 3 - Bay 04,Shelf,,,"POLYGON ((4.8 1.46, 6.4 1.46, 6.4 1.5, 4.8 1.5, 4.8 1.46))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,FreshMart Essentials Wheat Bites 1kg,Product,FreshMart Essentials,2,"POLYGON ((4.835 1.5, 5.315 1.5, 5.315 1.83, 4.835 1.83, 4.835 1.5))",2,6500
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Morning Mills Oat Sachets 10pk,Product,Morning Mills,3,"POLYGON ((5.327 1.5, 5.867 1.5, 5.867 1.74, 5.327 1.74, 5.327 1.5))",2,8100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Rice Pops 350g,Product,Glen Oats,2,"POLYGON ((5.879 1.5, 6.279 1.5, 6.279 1.81, 5.879 1.81, 5.879 1.5))",2,3600
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Shelf 4 - Bay 04,Shelf,,,"POLYGON ((4.8 1.86, 6.4 1.86, 6.4 1.9, 4.8 1.9, 4.8 1.86))",1,
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Oat Sachets 10pk,Product,Glen Oats,1,"POLYGON ((4.835 1.9, 5.015 1.9, 5.015 2.14, 4.835 2.14, 4.835 1.9))",2,2000
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Morning Mills Granola Clusters 450g,Product,Morning Mills,1,"POLYGON ((5.027 1.9, 5.217 1.9, 5.217 2.17, 5.027 2.17, 5.027 1.9))",2,3600
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,Glen Oats Granola Clusters 450g,Product,Glen Oats,2,"POLYGON ((5.229 1.9, 5.609 1.9, 5.609 2.17, 5.229 2.17, 5.229 1.9))",2,4900
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,FreshMart Essentials Oat Sachets 10pk,Product,FreshMart Essentials,2,"POLYGON ((5.621 1.9, 5.981 1.9, 5.981 2.14, 5.621 2.14, 5.621 1.9))",2,7100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,SunHarvest Oat Sachets 10pk,Product,SunHarvest,1,"POLYGON ((5.993 1.9, 6.173 1.9, 6.173 2.14, 5.993 2.14, 5.993 1.9))",2,2100
FreshMart Banksia Grove,Aisle 1 - Breakfast Cereals,Aisle 1,04,FreshMart Essentials Oat Sachets 10pk,Product,FreshMart Essentials,1,"POLYGON ((6.185 1.9, 6.365 1.9, 6.365 2.14, 6.185 2.14, 6.185 1.9))",2,3500
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,05,Bay Frame 05,Rack,,,"POLYGON ((0 0, 1.6 0, 1.6 2.2, 0 2.2, 0 0))",0,
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,06,Bay Frame 06,Rack,,,"POLYGON ((1.6 0, 3.2 0, 3.2 2.2, 1.6 2.2, 1.6 0))",0,
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,07,Bay Frame 07,Rack,,,"POLYGON ((3.2 0, 4.8 0, 4.8 2.2, 3.2 2.2, 3.2 0))",0,
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,,Upright 1,Rack,,,"POLYGON ((0 0, 0.025 0, 0.025 2.2, 0 2.2, 0 0))",0,
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,,Upright 2,Rack,,,"POLYGON ((1.575 0, 1.625 0, 1.625 2.2, 1.575 2.2, 1.575 0))",0,
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,,Upright 3,Rack,,,"POLYGON ((3.175 0, 3.225 0, 3.225 2.2, 3.175 2.2, 3.175 0))",0,
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,,Upright 4,Rack,,,"POLYGON ((4.775 0, 4.8 0, 4.8 2.2, 4.775 2.2, 4.775 0))",0,
FreshMart Banksia Grove,Aisle 1 - Spreads & Honey,Aisle 1,05,Base Deck - Bay 05,Base Deck,,,"POLYGON ((0 0, 1.6 0, 1.6 0.1, 0 0.1, 0 0))",1,
