Shopping Centre Name,Level,Store Name,Store Category,WKT Geometry,Store Area (sqm),Sales Last 12 Months
Banksia Grove Shopping Centre,Level 1,Bright Beginnings Childcare,Services,"POLYGON ((98 6, 118 6, 118 32, 98 32, 98 6))",520.0,1612900
Banksia Grove Shopping Centre,Level 1,Vacant Tenancy 1.12,Vacant,"POLYGON ((118 6, 132 6, 132 32, 118 32, 118 6))",364.0,
Banksia Grove Shopping Centre,Level 1,Centre Management,Services,"POLYGON ((132 6, 164 6, 164 32, 132 32, 132 6))",832.0,5809600
Banksia Grove Shopping Centre,Level 1,Espresso Landing,Kiosk,"POLYGON ((48 40, 52 40, 52 44, 48 44, 48 40))",16.0,223700
Banksia Grove Shopping Centre,Level 1,Churro Cart,Kiosk,"POLYGON ((150 40, 154 40, 154 44, 150 44, 150 40))",16.0,230900
Marlow Quays Shopping Village,Ground Floor,Common Areas & Walkway,Common Area,"POLYGON ((0 0, 120 0, 120 35, 45 35, 45 70, 0 70, 0 0))",5775.0,
Marlow Quays Shopping Village,Ground Floor,GreenGrocer Market Hall,Supermarket,"POLYGON ((2 37, 43 37, 43 68, 2 68, 2 37))",1271.0,13108400
Marlow Quays Shopping Village,Ground Floor,Quays Pharmacy,Health & Beauty,"POLYGON ((2 2, 14 2, 14 20, 2 20, 2 2))",216.0,2501900
Marlow Quays Shopping Village,Ground Floor,Marlow Meats,Food & Beverage,"POLYGON ((14 2, 23 2, 23 20, 14 20, 14 2))",162.0,1514400
Marlow Quays Shopping Village,Ground Floor,The Daily Loaf,Food & Beverage,"POLYGON ((23 2, 31 2, 31 20, 23 20, 23 2))",144.0,1690000
Marlow Quays Shopping Village,Ground Floor,Catch of the Quay,Food & Beverage,"POLYGON ((31 2, 40 2, 40 20, 31 20, 31 2))",162.0,2490400
Marlow Quays Shopping Village,Ground Floor,Village Cellars,Food & Beverage,"POLYGON ((40 2, 50 2, 50 20, 40 20, 40 2))",180.0,2178100
Marlow Quays Shopping Village,Ground Floor,Coastline Surf & Skate,Fashion,"POLYGON ((50 2, 62 2, 62 20, 50 20, 50 2))",216.0,1315400
Marlow Quays Shopping Village,Ground Floor,Quays Newsagency,Services,"POLYGON ((62 2, 70 2, 70 20, 62 20, 62 2))",144.0,832700
Marlow Quays Shopping Village,Ground Floor,Hook & Needle Crafts,Homewares,"POLYGON ((70 2, 80 2, 80 20, 70 20, 70 2))",180.0,1035900
Marlow Quays Shopping Village,Ground Floor,Bayside Bites Cafe,Food & Beverage,"POLYGON ((80 2, 91 2, 91 20, 80 20, 80 2))",198.0,2602800
Marlow Quays Shopping Village,Ground Floor,Marlow Quays Cellars Door,Entertainment,"POLYGON ((91 2, 102 2, 102 20, 91 20, 91 2))",198.0,859900
Marlow Quays Shopping Village,Ground Floor,Dockside Fish & Chips,Food & Beverage,"POLYGON ((102 2, 118 2, 118 20, 102 20, 102 2))",288.0,4417500
Marlow Quays Shopping Village,Ground Floor,Quays Dry Cleaning,Services,"POLYGON ((66 27, 76 27, 76 33, 66 33, 66 27))",60.0,355000
Marlow Quays Shopping Village,Ground Floor,Anchor Bank ATM Lobby,Services,"POLYGON ((76 27, 82 27, 82 33, 76 33, 76 27))",36.0,187600
Marlow Quays Shopping Village,Ground Floor,Tide Watch Repairs,Services,"POLYGON ((82 27, 89 27, 89 33, 82 33, 82 27))",42.0,144700
Marlow Quays Shopping Village,Ground Floor,Sea Salt Hair Studio,Services,"POLYGON ((89 27, 99 27, 99 33, 89 33, 89 27))",60.0,293100
Marlow Quays Shopping Village,Ground Floor,Quays Community Hub,Services,"POLYGON ((99 27, 113 27, 113 33, 99 33, 99 27))",84.0,433100
Marlow Quays Shopping Village,Ground Floor,The Quayside Pantry,Food & Beverage,"POLYGON ((47 27, 62 27, 62 33, 52 33, 47 30, 47 27))",82.5,1121100
Marlow Quays Shopping Village,Ground Floor,Village Green Stage,Entertainment,POINT (30 28),,
